# This is a continuation of trace file C:\EDT WS\GraduationWS\.metadata\trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2026-05-26 21:21:14.341
| derived_data_executor_5 | 2026-05-26 21:21:17.393 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/1cedtcli.pid |
| derived_data_executor_8 | 2026-05-26 21:21:17.392 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.lock |
| derived_data_executor_3 | 2026-05-26 21:21:17.391 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/1cedtcli-shutdown-hook.log |
| derived_data_executor_2 | 2026-05-26 21:21:17.390 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.log |
| derived_data_executor_9 | 2026-05-26 21:21:17.389 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/com.e1c.g5.v8.dt.platform.standaloneserver.wst.core.prefs |
| derived_data_executor_2 | 2026-05-26 21:21:17.397 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.log, originally changed objects=null |
| derived_data_executor_3 | 2026-05-26 21:21:17.396 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/1cedtcli-shutdown-hook.log, originally changed objects=null |
| derived_data_executor_8 | 2026-05-26 21:21:17.395 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.lock, originally changed objects=null |
| derived_data_executor_5 | 2026-05-26 21:21:17.394 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/1cedtcli.pid, originally changed objects=null |
| derived_data_executor_6 | 2026-05-26 21:21:17.394 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/1cedtcli-force-kill-tag |
| derived_data_executor_9 | 2026-05-26 21:21:17.398 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/com.e1c.g5.v8.dt.platform.standaloneserver.wst.core.prefs, originally changed objects=null |
| derived_data_executor_6 | 2026-05-26 21:21:17.402 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/1cedtcli-force-kill-tag, originally changed objects=null |
| derived_data_executor_4 | 2026-05-26 21:21:20.385 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/com._1c.g5.ides.monitoring/store/settings.json |
| derived_data_executor_4 | 2026-05-26 21:21:20.386 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/com._1c.g5.ides.monitoring/store/settings.json |
| derived_data_executor_4 | 2026-05-26 21:21:20.387 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/com._1c.g5.ides.monitoring/store/settings.json, originally changed objects=null |
| derived_data_executor_7 | 2026-05-26 21:21:23.221 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.core.variables.prefs |
| derived_data_executor_2 | 2026-05-26 21:21:23.221 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/com._1c.g5.v8.dt.platform.services.core.prefs |
| derived_data_executor_7 | 2026-05-26 21:21:23.222 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.core.variables.prefs |
| derived_data_executor_2 | 2026-05-26 21:21:23.223 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/com._1c.g5.v8.dt.platform.services.core.prefs |
| derived_data_executor_7 | 2026-05-26 21:21:23.225 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.core.variables.prefs, originally changed objects=null |
| derived_data_executor_2 | 2026-05-26 21:21:23.225 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/com._1c.g5.v8.dt.platform.services.core.prefs, originally changed objects=null |
| derived_data_executor_3 | 2026-05-26 21:21:26.177 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been deleted, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.core.resources/.root/.markers.snap |
| derived_data_executor_6 | 2026-05-26 21:21:26.178 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.core.resources/.root/1.tree |
| derived_data_executor_4 | 2026-05-26 21:21:26.178 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/nonChainingJarsCache |
| derived_data_executor_9 | 2026-05-26 21:21:26.178 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.core.resources/.safetable/org.eclipse.core.resources |
| derived_data_executor_7 | 2026-05-26 21:21:26.178 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/externalFilesCache |
| derived_data_executor_8 | 2026-05-26 21:21:26.178 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/variablesAndContainers.dat |
| derived_data_executor_5 | 2026-05-26 21:21:26.178 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.log |
| derived_data_executor_2 | 2026-05-26 21:21:26.177 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been deleted, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.core.resources/0.snap |
| derived_data_executor_5 | 2026-05-26 21:21:26.196 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.log |
| derived_data_executor_8 | 2026-05-26 21:21:26.195 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/variablesAndContainers.dat |
| derived_data_executor_7 | 2026-05-26 21:21:26.183 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/externalFilesCache |
